Titel;Satz;Position1;Position2;Suspense
Eine Spukgeschichte;Sie rennen fort, bis auf eine, die, die beherzteste, sich ermutigt, auf Adelgunden zuspringt, sie in die Arme fassen will.;5480;5602;/1
Am Kamin;So?;13632;13635;/0
Am Kamin;Bei der immer stärker hereinbrechenden Dunkelheit überfiel mich mit einem Male ein Gefühl von Einsamkeit, und ich wollte eben in die Stube zu meiner Mutter gehen, als ich die Haustürglocke schellen und die alte Frau van A... hereintreten sah.;27833;28075;/1
Am Kamin;denn die alte Stadt ist ein wahres Gespensternest und noch voll von Heidenglauben.;4332;4414;/1
Am Kamin;»Mit Gunst, Herr Vater«, entgegnete der Gesell, »traut Ihr mir nicht, oder fehlt's da wo im Hause bei den Meistersleuten?«;8140;8262;/0
Tatsachen im Falle Waldemar;Die Verknöcherung hatte mit ganz ungewöhnlicher Schnelligkeit um sich gegriffen, und die Rippeneiterung hatte man erst in den letzten drei Tagen wahrgenommen.;5600;5758;/0
Tatsachen im Falle Waldemar;Ich verschob daher meine Maßnahmen bis zum anderen Abend gegen acht Uhr, wo das Eintreffen eines Studenten der Medizin, des Herrn Theodor L...l, zu dem ich einige Beziehungen hatte, mich weiterer Befürchtungen enthob.;6955;7172;/0
Am Kamin;aber er vermochte nichts zu sehen als den völlig leeren Raum.;10323;10384;/1
Am Kamin;Schon in der Nähe des Hauses, während er zwischen den Rabatten auf dem geraden Steige des Gartens entlangging, warf er zufällig einen Blick nach dem Fenster seiner Kammer hinauf.;12806;12984;/1
Eine Spukgeschichte;eine Stunde früher?;9597;9616;/1
Tatsachen im Falle Waldemar;Das erste Anzeichen von Wiederbelebung bot sich in einer teilweisen Herabsenkung der Iris.;19019;19109;/1
Am Kamin;Freilich –;21169;21179;/0
Am Kamin;"Wart noch; ich will mich vor dem Kamin auf den Teppich legen und Kienäpfel zuwerfen.";785;869;/0
Am Kamin;Der prophezeit aus der Teetasse oder vielmehr aus der Tasse Tee wie die Hexe aus dem Kaffeesatz.;35779;35875;/0
Eine Spukgeschichte;Er blieb in der siegreichen Schlacht bei W.;11947;11990;/0
Am Kamin;"Was nun folgt, habe ich später aus dem Munde meines Freundes gehört; denn ich selbst verließ schon am Tage darauf die Stadt.";17860;17984;/0
Eine Spukgeschichte;Kann ein Zustand qualvoller sein?;11833;11866;/0
Tatsachen im Falle Waldemar;"Zunächst blieb zu beobachten, ob ein solcher Patient für magnetische Einwirkungen besonders empfänglich war;";1011;1119;/0
Tatsachen im Falle Waldemar;Ich war so furchtbar entsetzt, daß ich einen Moment lang nicht wußte, was beginnen.;20067;20150;/1
Eine Spukgeschichte;In der magischen Dämmerung beginnen sie allerlei seltsame Tänze, indem sie Elfen und andere flinke Spukgeister vorstellen wollen.;4449;4578;/1
Eine Spukgeschichte;Der Obrist, ganz Gram und Verzweiflung, folgte den Fahnen zum neuen Feldzuge.;11869;11946;/0
Am Kamin;ich stand auf und verschloß den angefangenen Brief in meinen Sekretär, ich konnte mich nicht überwinden, ihn zu Ende zu schreiben.;40664;40794;/1
Eine Spukgeschichte;Was!;9590;9594;/1
Am Kamin;"Nach dem Essen, als die Zigarren angezündet waren, gerieten wir unversehens in die Spukgeschichten, was dort eben nicht schwer ist;";4200;4331;/0
Am Kamin;In dem Herbste, ehe Sie im Frühjahr darauf in unsre Nachbarschaft kamen, bemerkte ich mehrfach, wenn ich des Morgens auf den Boden kam, daß in der Nacht jemand, und zwar in scheinbarer Hast, über dem Hafer gewesen sei.;32672;32890;/1
Eine Spukgeschichte;Daher jene sonderbare Art sie zu behandeln, deren ich erst erwähnte. ;7037;7106;/0
Am Kamin;Wo bleiben da unsre Geschichten?;20842;20874;/0
Am Kamin;Es ist kein Hehl dabei, ich kann es in diesem vertrauten Kreise wohl mitteilen, zumal Sie den, welchen es betrifft, gekannt und auch wohl wertgehalten haben.;42816;42973;/0
Tatsachen im Falle Waldemar;Der rechte Arm gehorchte wie vorher der Führung meiner Hand.;11960;12020;/1
Am Kamin;Nun, da verwechsle ich die Geschichte.;24357;24395;/0
Am Kamin;So habe ich manche Stunde dort verbracht in gemeinsamer Arbeit oder in gemütlichem Gespräch.;15366;15458;/0
Am Kamin;Allein aus verschiedenen Gründen mußte ich den Verdacht aufgeben.;33340;33405;/0
Am Kamin;Indessen, da es hierorts weder einen Torf noch einen Teekomfort gibt – Sie kennen das Ding wohl nicht einmal? –, so akzeptiere ich das Kännchen Sprit.;21571;21721;/0
Tatsachen im Falle Waldemar;sie waren so eiskalt wie immer.;11928;11959;/1
Tatsachen im Falle Waldemar;Ich muß ferner erwähnen, daß dies Glied meinem Willen nicht mehr unterworfen war.;16849;16930;/1
Am Kamin;Ich weiß nicht, meine Damen, ob Sie jemals durch die Marsch gefahren sind!;3658;3732;/0
Tatsachen im Falle Waldemar;Ich machte den Versuch, und er mißlang.;19425;19464;/1
Am Kamin;Da träumte mir eines Nachts, ich stehe im Mondschein auf dem Haferboden am Fenster.;33406;33489;/0
Am Kamin;der Vers ist schon gedruckt.;7527;7555;/0
Eine Spukgeschichte;Denkt euch die schönste Gestalt, das wunderherrlichste Antlitz.;1803;1866;/0
Am Kamin;Kann ich mir auch nichts bei denken.;13444;13480;/0
Eine Spukgeschichte;Die älteste war ein munteres Ding, bis zur Ausgelassenheit lebendig, nicht ohne Geist, aber so wie sie nicht fünf Schritte gehen konnte, ohne wenigstens drei Entrechats zu machen, so sprang sie auch im Gespräch, in all ihrem Tun rastlos von einem Dinge zum andern.;514;778;/0
Eine Spukgeschichte;Adelgunde erholte sich in derselben Nacht so ganz und gar von ihrem Schreck, daß man durchaus keine böse Folgen befürchtete, sondern die ganze Sache für völlig abgetan hielt.;6122;6296;/0
Am Kamin;"Wenn die Mutter wachte, saß er in dem alten Lehnstuhl vor ihrem Bett und sprach leise zu ihr oder las ihr aus der Bibel vor; oder er war nur bei ihr, daß ihre Augen zärtlich auf ihm ruhen konnten.";18351;18547;/0
Eine Spukgeschichte;Da ist es;6466;6475;/1
Am Kamin;Weshalb?;48896;48904;/0
Eine Spukgeschichte;Ich überwand wohl bald diese Schauer und mußte, als ich das tief in sich gekehrte Mädchen zum Sprechen vermocht, mir selbst gestehen, daß das Seltsame, ja Spukhafte dieser Erscheinung nur im Äußern liege, keinesweges sich aber aus dem Innern heraus offenbare.;2141;2400;/0
Am Kamin;Plötzlich, und ehe es noch ganz in seine Nähe gekommen, war alles wieder still.;10385;10464;/1
Am Kamin;Unser Geselle ließ sich das nicht anfechten, sondern ging noch an demselben Abend zu seinem neuen Meister.;8463;8569;/0
Am Kamin;weder sie noch ihr Sohn verkannten das.;17423;17462;/0
Am Kamin;"Sie haben nicht fehlgesehen;";37027;37055;/0
Eine Spukgeschichte;Mag er es denn erlösen?;16256;16279;/0
Am Kamin;"die Kammer war fast hell vom Mondschein;";10241;10281;/1
Am Kamin;"wir machten wie sonst des Mittags unsern gemeinschaftlichen Spaziergang, und abends, wenn er aus seiner Kanzlei nach Hause gekommen war, saßen wir in dem von ihm und seiner Mutter gemeinschaftlich bewohnten Zimmer und nahmen miteinander die Lektionen durch, welche am folgenden Tage in der Schule vorkommen sollten;";14913;15228;/0
Tatsachen im Falle Waldemar;Ich vermute, daß keinem der Anwesenden die Schrecken des Totenbettes fremd waren, aber Herr Waldemar bot in diesem Augenblick einen so entsetzlichen Anblick, daß alle aus der Nähe des Bettes zurückwichen.;14022;14226;/1
Am Kamin;"Er atmete tief auf;";5961;5980;/1
Tatsachen im Falle Waldemar;"Die Beine waren lang ausgestreckt;";9860;9894;/1
Am Kamin;"Ich wollte aufstehen und die Sache sogleich untersuchen, aber ich schalt mich eben Narren;";34314;34404;/1
Tatsachen im Falle Waldemar;aber es wurde uns nicht schwer, dahin übereinzukommen, daß ein solches Vorgehen nichts Gutes fördern könne.;17841;17948;/0
Am Kamin;Wo war ich denn?;1309;1325;/0
Am Kamin;Es war eine Luft des Friedens und der Stille in diesem Zimmer, wie ich sie nirgend sonst empfunden habe.;16213;16317;/0
Eine Spukgeschichte;Ich kann mir es denken, daß ich den plötzlichen Schreck irgendeiner grauenhaften Erscheinung wohl ertragen könnte, das unheimliche, den äußern Sinn in Anspruch nehmende Treiben eines unsichtbaren Wesens würde mich dagegen unfehlbar wahnsinnig machen.;14636;14886;/0
Tatsachen im Falle Waldemar;Es hatte nicht in ihrer Absicht gelegen, wiederzukommen, auf mein Ersuchen jedoch erklärten sie sich bereit, gegen zehn Uhr am folgenden Abend noch einmal nach dem Kranken sehen zu wollen.;6250;6438;/0
Am Kamin;Gewiß, Herr Medizinalrat.;47585;47610;/1
Am Kamin;Will ich ganz dem Scharfsinn der Damen überlassen und Ihnen lieber etwas anderes erzählen, wo ein solcher Zusammenhang sich von selbst ergibt, indem der Reflex der Begebenheit mit dieser selbst scheinbar in einen Moment zusammenfällt.;13891;14125;/0
Am Kamin;und von den ungeheuren Besitzungen war nur noch ein altes Giebelhaus in der Stadt zurückgeblieben, in welchem die Letzte dieses Namens den Rest ihrer Tage in Einsamkeit verlebte.;25169;25347;/0
Am Kamin;Plötzlich, zu meinem großen Bedauern, wurde ich nach H. abkommandiert.;39385;39455;/0
Am Kamin;es geht auch nachts ein altes glasäugiges dreibeiniges Pferd durch die Straßen, und wo es stehenbleibt und in die Fenster guckt, wird bald ein Sarg herausgetragen. ;4510;4674;/1
Eine Spukgeschichte;fasse dich, Adelgunde!;10090;10112;/1
Am Kamin;indessen, ich beginne wenigstens schon davon zu reden.;3483;3537;/0
Am Kamin;Der Medizinalrat schwieg, und es entstand eine augenblickliche Stille in der Gesellschaft, die wohl dem Andenken des Verstorbenen gelten mochte.;46143;46287;/0
Eine Spukgeschichte;Die Idee der Erscheinung des Gespenstes sei mit dem Ausschlagen der neunten Abendstunde so fest verknüpft, daß die innere Kraft des Geistes sie nicht mehr trennen könne, und es käme daher nur darauf an, diese Trennung von außen her zu bewirken.;8082;8326;/0
Tatsachen im Falle Waldemar;Trotz alledem schien er im vollkommenen Besitz seiner Geisteskräfte und war auch körperlich nicht so schwach, als man hätte annehmen sollen.;4600;4740;/0
Am Kamin;Da erscheint der Trank, bei dem der selige Hoffmann seine Serapionsgeschichten erzählte.;3122;3210;/0
Tatsachen im Falle Waldemar;Die Gliedmaßen des Patienten waren von eisiger Kälte.;9184;9237;/1
Tatsachen im Falle Waldemar;An Herrn Waldemar war nicht das geringste Lebenszeichen mehr zu bemerken, und da wir annahmen, daß er tot sei, wollten wir ihn der Obhut der Pflegeleute überlassen, als seine Zunge von einer heftigen Vibration ergriffen wurde.;14392;14618;/1
Am Kamin;Ja – aber Träumen ist doch nicht Spuken –;3002;3043;/0
Am Kamin;"›Nein, nein, Papa, es war ein wirklicher Wolf; ";1712;1759;/1
Am Kamin;Es war schon dunkel.;44475;44495;/1
Am Kamin;"Dann nach einigen Tagen kam die Begräbnisfeier;";27428;27475;/1
Am Kamin;Er kehrte um und suchte sich für diese Nacht ein Unterkommen in der Herberge.;13186;13263;/0
Tatsachen im Falle Waldemar;Dennoch bot er nicht den Anblick eines Toten.;10872;10917;/1
Am Kamin;Mir selbst ist es in einem ähnlichen Falle nach dem Sprichwort ergangen:;32268;32340;/0
Eine Spukgeschichte;›Seht ihr nichts‹;5193;5210;/1
Am Kamin;Das einzige, sehr hohe Fenster mit kleinen, in Blei gefaßten Scheiben schien, soviel er bei dem Mondschein draußen erkennen konnte, nach einem großen Garten hinaus zu liegen.;9471;9645;/0
Am Kamin;Der Zustand des Kranken war derart, daß darüber die differentesten Meinungen bei den zu Rate gezogenen Ärzten herrschten.;43168;43289;/1
Tatsachen im Falle Waldemar;Ein Versuch, aus dem Arm Blut zu ziehen, schlug fehl.;16795;16848;/1
Am Kamin;Hierauf besah er sich sein neues Quartier.;9197;9239;/0
Am Kamin;Im Hause des Arztes lebte eine ältliche Schwester desselben, welche den kleinen Peter ganz besonders in ihr Herz geschlossen hatte.;2002;2133;/0
Am Kamin;»Wie meint Er das, Martin?« fragte ich.;34878;34917;/1
Am Kamin;Aber ein Teil dieser Geschichten tritt eben mit dem Reiz des Rätsels an uns heran und drängt uns, den Dingen nachzuspüren, die, wenngleich selber längst vergangen, noch solche Schatten aus dem leeren Raume fallen lassen.;13640;13860;/0
Am Kamin;So schlief er endlich ein. ;1907;1934;/0
Tatsachen im Falle Waldemar;Er blieb in jeder Hinsicht genau so, wie ich ihn zuletzt beschrieben habe, ausgenommen, daß der Spiegel keine Atmung mehr erkennen ließ.;16658;16794;/1
Am Kamin;Der Gesell, so wenig angenehm ihm diese Dinge waren, beschloß bei sich, gegen jedermann zu schweigen, am wenigsten aber sich von jenem Unheimlichen vom Platze verdrängen zu lassen.;12160;12340;/0
Am Kamin;sie rührt mir gar zu ungeduldig in der Bowle.;7632;7677;/0
Tatsachen im Falle Waldemar;Ich glaube, ich habe nun alles erzählt, was zum Verständnis für des Schlafwachenden damaligen Zustand notwendig ist.;17393;17509;/0
Am Kamin;Ich meine unsern verstorbenen Freund, den Justizrat Z.;42974;43028;/1
Am Kamin;Er hielt sich vor mehreren Jahren vorübergehend in B. auf, wo derzeit auch der in wissenschaftlichen und künstlerischen Kreisen bekannte Geheime Medizinalrat W. lebte.;41816;41983;/0
Tatsachen im Falle Waldemar;und es ist vermutlich der unglückliche Ausgang dieses Experimentes, das in Laienkreisen zu so vielen Erörterungen Anlaß gab, die ich nicht anders als ungerechtfertigt bezeichnen kann.;18704;18887;/1
Eine Spukgeschichte;Merkwürdig, höchst merkwürdig ist es, daß Adelgunde seit jenem verhängnisvollen Abende von dem Phantom befreit ist.;11993;12108;/0
Tatsachen im Falle Waldemar;Er gab keine Antwort, doch ich bemerkte ein Zittern um seinen Mund und wurde dadurch veranlaßt, meine Frage ein zweites und drittes Mal zu wiederholen.;11389;11540;/1
Eine Spukgeschichte;Die Obristin mühte sich, allerlei Lustiges zu erzählen, der Obrist fing an, wie es seine Art war, wenn er vorzüglich bei Laune, die alte Französin ein wenig aufzuziehen, worin ihm Auguste (das ältere Fräulein) beistand.;9049;9268;/0
Am Kamin;Weißt du nicht, wieviel Uhr es gewesen?‹ ;2657;2698;/1
Am Kamin;Ich kann Ihnen hierauf leider keine Antwort geben.;30987;31037;/0
Am Kamin;Es wurde ein Komitee von vier Festordnern niedergesetzt, zu denen auch ich gehörte, und demselben das ganze Arrangement der Sache, vor allem aber die Aufspürung des Ballsaales, aufgetragen.;37716;37905;/0
Am Kamin;Ich?;48891;48895;/0
Am Kamin;Ich?;20629;20633;/0
Am Kamin;Ich?;170;174;/0
Am Kamin;Ich?;7680;7684;/0
Am Kamin;endlich brach draußen der Mond durch die Wolken und schien in die Kammer, aber er beleuchtete nur die nackten Wände.;12043;12159;/1
Eine Spukgeschichte;Denn eben fällt mir ein, von Offizieren gehört zu haben, der Obrist sei beim Angriff plötzlich, wie von Furien getrieben, ins feindliche Feuer hineingesprengt.;13692;13851;/1
Eine Spukgeschichte;Genug, seit jenem unglückseligen Abende behauptete Adelgunde, sowie es abends neune schlug, daß die Gestalt dicht vor ihr stehe und einige Sekunden weile, ohne daß irgendein Mensch außer ihr auch nur das mindeste wahrnehmen konnte oder in irgendeiner psychischen Empfindung die Nähe eines unbekannten geistigen Prinzips gespürt haben sollte.;6541;6882;/1
Am Kamin;Ich mache gar keine Augen.;522;548;/0
Am Kamin;"Es ist das Herz meines Freundes«, sagte er, das Glas mit beiden Händen fassend;";48251;48330;/1
Am Kamin;Ich kehrte erst nach mehrtägiger Abwesenheit in die Stadt zurück.;44409;44474;/0
Am Kamin;ich verspeiste mit großem Appetit die leckeren Butterkringel, die beim Leichenschmaus in der Nachbarschaft verteilt wurden, und sah von unsern Treppensteinen aus den mit schwarzem Tuch bezogenen Sarg aus dem alten Hause hinaus- und die lange Straße hinabtragen.;27476;27737;/0
Eine Spukgeschichte;will man mich denn wahnsinnig machen!;10154;10191;/1
Am Kamin;Aber er gestand demselben, daß in der Tat an jenem Abend das anatomische Gelüste über seine Gewissenhaftigkeit den Sieg davongetragen habe.;48542;48681;/1
Tatsachen im Falle Waldemar;Um Gottes willen;19915;19931;/1
Tatsachen im Falle Waldemar;Es wurde nun angeregt, daß ich versuchen solle, wie früher den Arm des Patienten mir gehorsam zu machen.;19320;19424;/1
Am Kamin;aber er hatte sich geirrt, die Tür seiner Kammer war eingeklinkt, wie er in der Nacht sie aus der Hand gelassen.;19601;19713;/1
Eine Spukgeschichte;Aber eine Totenblässe liegt auf Lipp' und Wangen, und die Gestalt bewegt sich leise, langsam, gemessenen Schrittes, und wenn dann ein halblautes Wort von den kaum geöffneten Lippen ertönt und im weiten Saal verklingt, fühlt man sich von gespenstischen Schauern durchbebt.;1867;2138;/1
Am Kamin;Aber du weinst ja!;20608;20626;/0
Am Kamin;Sßt! ;1356;1361;/0
Am Kamin;So habe ich es schon seit vielen Jahren gehalten.;32622;32671;/0
Am Kamin;"Meine gnädigste Frau, Sie werden mir zugehen, daß, so wie das Bier der Feind, so der Tee der Freund der denkenden Menschen ist; und es dürfte daher die Art, wie dieser Freund in einem Hause be- respektive mißhandelt, wie er serviert und genossen wird, zu allerlei nicht gar zu fehltreffenden Schlußfolgerungen in der angedeuteten Beziehung berechtigen.";36233;36585;/0
Am Kamin;Dem kleinen Peter träumte eines Nachts – –;1039;1081;/1
Am Kamin;Warum erzählst du auch so dumme Geschichten!;20638;20682;/0
Am Kamin;›Nun?‹;2485;2491;/1
Am Kamin;Währenddes verging die Nacht, und der Tag fing eben an zu grauen, da wurde er plötzlich wie mit sanfter Gewalt aus dem Schlaf emporgezogen.;19308;19447;/1
Am Kamin;"Wie ich dahin gelangt sein sollte, wußte ich nicht anzugeben; denn es war mir sehr wohl bewußt, daß die Falltür verschlossen sei.";33490;33619;/0
Eine Spukgeschichte;»Nein, nein,« sprach Theodor, »der Strom, der in krausen Wellen daherbrauste, muß sanft abgeleitet werden, und dazu ist ein Fragment sehr tauglich, das ich vor langer Zeit, besonders dazu angeregt, aufschrieb.;16281;16490;/0
Am Kamin;Als aber später meine Mutter aufstand und in die Küche ging, folgte ich ihr und erzählte ihr dort genau, was mir in den beiden Nächten geträumt hatte.;30360;30510;/0
Am Kamin;"ich will auch nicht leugnen, daß mir mitunter die Gedanken so gekommen sind; jedoch geschehen ist mir niemals etwas.";42656;42772;/1
Am Kamin;Es war ein zerlumptes Weib aus der Stadt, das vor der alten Dame stand.;26650;26721;/0
Am Kamin;das liegt in der Luft;177;198;/0
Am Kamin;Sei dem, wie ihm wolle, diese meine Freundin, der ich ein treues Gedächtnis bewahre, war im Heimlichen wie im Unheimlichen sehr zu Hause.;24396;24533;/0
Am Kamin;"Verteidigen Sie sich, oder – prophezeien Sie lieber einmal;";36137;36196;/0
Am Kamin;"Endlich nach vielen Bemühungen war er gefunden; in einem großen, ziemlich baufälligen Hause der Vorstadt, das in früheren Jahren, als B. noch Universitätsstadt war, zum öffentlichen Tanzlokale gedient hatte.";37906;38113;/0
Am Kamin;"Mit Hülfe von Stipendien, deren es dort viele gab, hätte mein Freund dessenungeachtet wohl seinen Plan, die Rechte zu studieren, durchführen können;";14488;14636;/0
Am Kamin;Nun erhob er den weißgepuderten Kopf und sagte:;42494;42541;/1
Am Kamin;r begrub den Kopf an seines Vaters Brust und wollte nicht wieder in sein Korbbettchen zurück.;1813;1906;/0
Am Kamin;Aber sie hatte noch sehr blanke, braune Augen, Hans, und die lebhafte Röte ihres Angesichts zeugte von der Erregbarkeit ihres Herzens, und wenn sie mir damals auch in gewählten Worten ihre Freude über unsre Verlobung aussprach, weil der böse Leumund die Besuche des jungen Mannes nun nicht mehr mißdeuten könnte, so habe ich doch darin das verhüllte Bekenntnis gegenseitiger Neigung nicht verkennen können.;23372;23778;/0
Am Kamin;"In meiner Kindheit lebte von der ganzen Familie nur noch eine alte Dame, die Witwe des längst verstorbenen Pfenningmeisters van A..., die übrigen Glieder der Familie waren gestorben, zum Teil auf seltsame und gewalttätige Weise ums Leben gekommen;";24921;25168;/1
Tatsachen im Falle Waldemar;ich zog die Striche, die ich bereits früher am wirksamsten bei ihm angewendet hatte.;8162;8246;/1
Am Kamin;Schauder?;48828;48837;/0
Am Kamin;wir gingen zu dem Herrn Agenten, wir plauderten mit ihm, wir machten uns liebenswürdig und brachten es auch wirklich dahin, daß der nachgiebige Mann, augenscheinlich wider bessere Einsicht, das Korn in den oberen Räumen des Gebäudes unterbringen ließ.;38897;39148;/0
Tatsachen im Falle Waldemar;"ferner ob die Empfänglichkeit in solchem Zustand, falls sie vorhanden, stärker oder schwächer war als sonst;";1120;1228;/0
Tatsachen im Falle Waldemar;Um Herrn Waldemar aus der Trance zu erwecken, brachte ich die üblichen Striche zur Anwendung. ;18888;18982;/1
Am Kamin;So kam es eines Abends, daß ich, der ich ihn mit jeweiliger Zuziehung des Professors X. in den letzten Jahren behandelt hatte, ihm auf sein dringendes Verlangen das feierliche Versprechen gab, bei Eintritt des Todes die Eröffnung seiner Leiche unter jeder Bedingung zu verhindern.;43927;44207;/0
Tatsachen im Falle Waldemar;Dessenungeachtet ist es meine Pflicht, fortzufahren.;14339;14391;/0
Am Kamin;›Ja‹, entgegnete er, noch immer wie im Traum, ›es war doch nicht gut darüber wegzukommen.‹;6110;6200;/1
Am Kamin;Was die Ursache seines Todes gewesen, vermag ich nicht mehr anzugeben.;7273;7343;/1
Am Kamin;Es kam mir vor, als ob es Getreidekörner seien.;40367;40414;/1
Tatsachen im Falle Waldemar;Mit ein paar schnellen Querstrichen brachte ich die Augenlider zum Beben, und nach einigen weiteren Strichen schlossen sie sich ganz.;9492;9625;/1
Am Kamin;Eines Abends, da er in Gesellschaft mit demselben zusammentraf, geriet die Unterhaltung in Veranlassung eines soeben erschienenen Buches, »Über das Leben der Seele«, unmerklich in jene dunkle Region, wo wir so gern mit unsicherem Finger umhertasten.;41984;42233;/0
Eine Spukgeschichte;Vergebens ringe ich nach Worten, euch den ganz eignen wunderbaren Eindruck zu beschreiben, den das Mädchen auf mich machte, als ich sie zum ersten Male sah.;1646;1802;/0
Eine Spukgeschichte;Wie ganz anders begab sich alles!;6299;6332;/1
Am Kamin;Nun, alter Herr, es soll mir auf ein Kännchen Sprit nicht ankommen!;21433;21500;/0
Am Kamin;Ich habe diese seltsame Geschichte von einem nahen Verwandten, der sie zum Teil selbst erlebt, teils später aus nächster Quelle erfahren hat.;41674;41815;/0
Am Kamin;Vor einigen Jahren führten mich Geschäfte nach der kleinen Stadt T. im nördlichen Schleswig, welche mitten in der nach ihr benannten Marsch liegt.;3992;4138;/0
Eine Spukgeschichte;ah carino – poverino!‹;1222;1244;/0
Am Kamin;Nach einer Weile hörte man ihn halblaut, wie zu sich selber, sagen:;46596;46663;/1
Am Kamin;gleich darauf hebt sich die Tür, und ich sehe bei der in dem Raume herrschenden Mondhelle das Gesicht eines Menschen von der Treppe her auftauchen, in dem ich deutlich einen alten Arbeiter erkannte, der schon seit vielen Jahren bei mir gearbeitet und den ich in keiner Weise in Verdacht gehabt hatte.;33702;34002;/1
Tatsachen im Falle Waldemar;"Sein Puls war kaum wahrnehmbar;";8857;8888;/1
Tatsachen im Falle Waldemar;"»Herr Waldemar, schlafen Sie noch?«
";12575;12611;/1
Tatsachen im Falle Waldemar;schnell;19934;19941;/1
Tatsachen im Falle Waldemar;schnell;19944;19951;/1
Tatsachen im Falle Waldemar;Ich tat dies, wie folgt:;19527;19551;/1
Eine Spukgeschichte;Schon längst bemerke ich, daß Ottmarn ein Manuskript aus der Busentasche hervorguckt, auf Erlösung hoffend.;16148;16255;/0
Am Kamin;"Das Gesicht war so lebhaft gewesen, daß mir das Herz klopfte, und dabei schien der Mond so grell in die Kammer; gerade wie ich es im Traum gesehen.";34166;34313;/1
Am Kamin;Was ist das, alter Herr!;36112;36136;/0
Tatsachen im Falle Waldemar;und drittens, in welchem Grade oder für welche Zeitdauer der Tod hinausgeschoben werden konnte.;1229;1324;/0
Am Kamin;Aber, Klärchen, log einmal Kienäpfel auf!;2958;2999;/0
Tatsachen im Falle Waldemar;die Haut wurde leichenfarben und glich nun weniger dem Pergament als weißem Papier, und die kreisrunden hektischen Flecke, die sich auf jeder Wange streng abzeichneten, erloschen mit einem Male.;13402;13596;/1
Am Kamin;"Gesteh es nur, Hans;";23159;23179;/0
Am Kamin;Plötzlich eines Morgens hieß es, daß sie gestorben sei, und schon am Nachmittag wußte ich mich in das Sterbehaus zu schleichen und betrachtete durch das Fenster der Stubentür mit einem aus Grauen und Neugier gemischten Gefühle das wachsbleiche Gesicht, das aus dem weißen Kissen der Alkovenbettstelle hervorragte.;27114;27427;/1
Am Kamin;seine rauhen Haare sind an mein Gesicht gekommen.‹ ;1759;1810;/1
Am Kamin;Wenn es aber an der Wand auf der kleinen Schwarzwälder Uhr zehn geschlagen hatte, begann sie allmählich einen unruhigen Blick auf die große dunkle Gardinenbettstelle zu werfen, die im Hintergrunde des geräumigen Zimmers stand.;16616;16842;/0
Eine Spukgeschichte;Wäre dann das Gespenst nicht erschienen, so würde sie selbst ihren Wahn einsehen, und physische Erkräftigungsmittel würden dann die Kur glücklich vollenden.;8491;8647;/0
Am Kamin;Hier schwieg der Erzähler.;35332;35358;/0
Am Kamin;Es war ein ungewöhnlich großes menschliches Herz.;48198;48247;/1
Am Kamin;Die Tante ist ein Werwolf gewesen!;2863;2897;/0
Tatsachen im Falle Waldemar;schnell ;20026;20034;/1
Am Kamin;Aber er erneuerte sich.;29077;29100;/1
Am Kamin;Der Medizinalrat nahm Hut und Stock und verließ die Gesellschaft.;47252;47317;/1
Am Kamin;Es ist auch eine halbe Flasche Maraschino dazu, alter Herr!;3259;3318;/0
Tatsachen im Falle Waldemar;Zu meinem großen Erstaunen aber folgte sein Arm bereitwillig, wenn auch sehr matt, jeder Richtung, die mein Arm ihm vorschrieb.;11180;11307;/1
Am Kamin;"Aber das tat der Liebe der Tante keinen Eintrag.
";2292;2341;/0
Tatsachen im Falle Waldemar;"Zuerst machte ich den Versuch, den Patienten wieder zu beruhigen;";20151;20216;/1
Eine Spukgeschichte;In dem wenigen, was das Mädchen sprach, zeigte sich ein zarter weiblicher Sinn, ein heller Verstand, ein freundliches Gemüt.;2401;2525;/0
Am Kamin;Auch ging allerlei unheimliches Gerede, nicht allein über den Erwerb des Vermögens in früherer Zeit, sondern auch über die Mittel, durch welche der verstorbene Pfenningmeister den Ruin desselben aufzuhalten versucht habe.;25550;25771;/1
Am Kamin;So ging ein Tag nach dem andern hin, bis endlich wieder die Zeit des Vollmonds herangekommen war.;11217;11314;/1
Am Kamin;"Dabei ging ihm im Hause alles nach Wunsch;";11061;11103;/0
Am Kamin;Unsinn!;49385;49392;/0
Am Kamin;"Aber Klärchen scheint wieder mit meiner Geschichte nicht zufrieden zu sein;";7556;7631;/0
Tatsachen im Falle Waldemar;Er sagte jetzt:;15952;15967;/1
Am Kamin;Setzen Sie die Bowle vor den Kamin, Martin!;3213;3256;/0
Am Kamin;Aber, wie zuerst, wurde auch jetzt nach einer Weile alles wieder still, ohne daß es sein Bett erreicht oder daß er etwas Genaueres zu erkennen vermocht hätte.;11757;11915;/1
Am Kamin;"Am andern Morgen, als zwischen ihm und dem Meister die Sache zur Sprache kam, erfuhr er von diesem, daß allerdings einzelne, welche vor ihm in der Kammer geschlafen, ein Ähnliches dort gehört haben wollten;";10618;10824;/1
Tatsachen im Falle Waldemar;der Kopf ruhte leicht erhöht in den Kissen.;9936;9979;/1
Am Kamin;War der eine Traum nur die Quelle des andern, wie das bei dem Wolfe so augenscheinlich der Fall zu sein scheint, oder gab es noch ein Drittes, worin dieselben ihren gemeinsamen Ursprung hatten?;31181;31374;/1
Eine Spukgeschichte;Cyprian schwieg, und auch die Freunde blieben still, indem sie gedankenvoll vor sich hinschauten.;12438;12535;/0
