Titel;Satz;Position1;Position2;Suspense
Der Untergang des Hauses Usher;Die Gruft, in der wir ihn beisetzten, war so lange nicht geöffnet worden, daß unsere Fackeln in der drückenden Atmosphäre fast erstickten und uns nur wenig gestatteten, Umschau zu halten.;27636;27823;/1
Der Untergang des Hauses Usher;"Er litt viel unter einer krankhaften Verschärfung der Sinne; nur die fadeste Nahrung war ihm erträglich; als Kleidung konnte er nur ganz bestimmte Stoffe tragen; jeglicher Blumenduft war ihm zuwider; selbst das schwächste Licht quälte seine Augen, und es gab nur einige besondere Tonklänge – und diese nur von Saiteninstrumenten –, die ihn nicht mit Entsetzen erfüllten.
";13887;14258;/0
Das Bettelweib von Locarno;Der Marchese, der, bei der Rückkehr von der Jagd, zufällig in das Zimmer trat, wo er seine Büchse abzusetzen pflegte, befahl der Frau unwillig, aus dem Winkel, in welchem sie lag, aufzustehen, und sich hinter den Ofen zu verfügen.;423;653;/0
Der Untergang des Hauses Usher;Jedoch gab er zögernd zu, daß die seltsame Schwermut, unter der er leide, einer natürlicheren, gewissermaßen handgreiflicheren Ursache zugeschrieben werden könne – nämlich der schweren und langwierigen Krankheit – ja der offenbar nahen Auflösung – einer zärtlich geliebten Schwester – der einzigen Gefährtin langer Jahre – der letzten und einzigen Verwandten auf Erden.;15790;16159;/0
Der Untergang des Hauses Usher;"Ich sagte vorhin, daß der einzige Erfolg meines etwas kindischen Beginnens – meines Hinabblickens in den dunklen Teich –
der
gewesen war, den ersten sonderbaren Eindruck, den das Landschaftsbild auf mich gemacht hatte, noch zu vertiefen.";5600;5837;/0
Das Bettelweib von Locarno;ein Schloß mit hohen und weitläufigen Zimmern, in deren einem einst, auf Stroh, das man ihr unterschüttete, eine alte kranke Frau, die sich bettelnd vor der Tür eingefunden hatte, von der Hausfrau aus Mitleiden gebettet worden war.;191;422;/0
Der Untergang des Hauses Usher;Es war besonders in der Nacht des siebenten oder achten Tages nach der Bestattung der Lady Magdalen in der Gruft, als ich mich sehr spät zum Schlafen zurückgezogen hatte, daß ich die volle Gewalt dieser Empfindungen erfuhr.;31102;31325;/1
Der Fremde;Löwenstein drückte sie warm und herzlich, und schrie auf, als er ein kaltes dürres Todtenbein fühlte.;15827;15928;/1
Der Untergang des Hauses Usher;Die Tür aus massivem Eisen hatte ähnliche Schutzvorrichtungen.;28385;28447;/0
Der Untergang des Hauses Usher;Hier ist eines deiner Lieblingsbücher. ;35044;35083;/0
Der Fremde;Er sagte während der Todeszuckungen mit schwacher Stimme, daß Lindner auf der Mitte der Treppe gestanden, und ihn mit derselben Todtenhand hinuntergewinkt habe.;18192;18352;/1
Der Fremde;Der Fremde.;13475;13486;/-
Der Fremde;Der Fremde.;13044;13055;/-
Der Fremde;Der Fremde.;14802;14813;/-
Der Fremde;Der Fremde.;15256;15267;/-
Der Fremde;Der Fremde.;15122;15133;/-
Der Fremde;Der Fremde.;13836;13847;/-
Der Fremde;Der Fremde.;15576;15587;/-
Der Fremde;Der Fremde.;13636;13647;/-
Der Fremde;Der Fremde.;14548;14559;/-
Der Fremde;Der Fremde.;14959;14970;/-
Der Fremde;Der Fremde.;12591;12602;/-
Der Fremde;Der Fremde.;14148;14159;/-
Der Fremde;Der Fremde.;12034;12045;/-
Der Fremde;Der Fremde.;12850;12861;/-
Der Untergang des Hauses Usher;Ich sah, daß er der Furcht, dem Schreck, dem Grauen sklavisch unterworfen war.;14258;14336;/1
Der Untergang des Hauses Usher;Plötzlich schoß ein unheimliches Licht quer über den Pfad, und ich blickte zurück, um zu sehen, woher ein so ungewöhnlicher Glanz kommen könne, denn hinter mir lagen allein das weite Schloß und seine Schatten.;43616;43825;/1
Der Fremde;Jedes Dorf und jeder Baum kam ihm hier schon so vertraut und freundschaftlich vor, er versenkte oft seinen Blick in den kühlen Schatten der Gebüsche, und sprach wie im Traume nur von ihr, er redete sie schon an und fragte, was sie mache, und horchte dann auf das Gesäusel der Baumwipfel über sich, um sich aus den unverständlichen Accenten eine süße Antwort herauszuhören.;7580;7952;/0
Das Bettelweib von Locarno;Am Fuße der Alpen, bei Locarno im oberen Italien, befand sich ein altes, einem Marchese gehöriges Schloß, das man jetzt, wenn man vom St. Gotthard kommt, in Schutt und Trümmern liegen sieht:;0;190;/0
Der Untergang des Hauses Usher;Es war wirklich eine sturmrasende, aber doch sehr schöne Nacht –, eine Nacht, die grausig seltsam war in Schrecken und in Pracht.;33681;33810;/1
Der Fremde;Löwenstein habe die Geschichte Lindners im Sinne gehabt, sei plötzlich auf den Kirchhof gerathen, und seine Phantasie habe ihm alle Begebenheiten untergeschoben.;17040;17201;/0
